artigoEmPeriodico	2014		Chromatographic analysis and antioxidant capacity of Tabernaemontana catharinensis.	Natural Product Communications	BOLIGON, A. A. ; PIANA, M. ; Schwanz, T. G. ; PEREIRA, R. P. ; ROCHA, J. B. T. ; ATHAYDE, M. L. ; ATHAYDE, M. L.	B4	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.clinbiochem.2006.11.016	Delta-aminolevulinate dehydratase (?-ALA-D) activity in diabetes and hypothyroidism	Clinical Biochemistry	SOUZA, J ; ROCHA, J. B. T. ; NOGUEIRA, C ; BORGES, V ; KAIZER, R ; MORSCH, V ; DRESSLER, V ; MARTINS, A ; FLORES, E ; SCHETINGER, M	C	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.reprotox.2006.09.008	Repeated administration of diphenyl diselenide to pregnant rats induces adverse effects on embryonic/fetal development	Reproductive Toxicology (Elmsford, N.Y.)	WEIS, S ; FAVERO, A ; STANGHERLIN, E ; MANARIN, F ; ROCHA, J ; NOGUEIRA, C ; ZENI, G ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.brainres.2006.10.070	Methylmercury induces oxidative injury, alterations in permeability and glutamine transport in cultured astrocytes	Brain Research	YIN, Z ; MILATOVIC, D ; ASCHNER, J ; SYVERSEN, T ; ROCHA, J ; SOUZA, D ; SIDORYK, M ; ALBRECHT, J ; ASCHNER, M ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.cbi.2006.06.002	Inhibition of two different cholinesterases by tacrine	Chemico-Biological Interactions (Print), EUA	AHMED, M ; ROCHA, J. B. T. ; CORREA, M ; MAZZANTI, C ; ZANIN, R ; MORSCH, A ; MORSCH, V ; SCHETINGER, M	B2	Chemico Biological Interactions (Print)
artigoEmPeriodico	2006		METALLOTHIONEINS: MERCURY SPECIES-SPECIFIC INDUCTION AND THEIR POTENTIAL ROLE IN ATTENUATING NEUROTOXICITY	Experimental Biology and Medicine (Maywood), EUA	ASCHNER, Michael ; SYVERSEN, Tore ; SOUZA, Doigo O ; ROCHA, J. B. T.	C	Biology and Medicine
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.cbi.2006.08.004	Diphenyl diselenide reduces temporarily hyperglycemia: Possible relationship with oxidative stress	Chemico-Biological Interactions (Print)	BARBOSA, N ; ROCHA, J ; WONDRACEK, D ; PEROTTONI, J ; ZENI, G ; NOGUEIRA, C ; ROCHA, J. B. T.	B2	Chemico Biological Interactions (Print)
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.cbi.2005.12.010	Acute liver damage induced by 2-nitropropane in rats: Effect of diphenyl diselenide on antioxidant defenses	Chemico-Biological Interactions (Print), EUA	BORGES, L ; NOGUEIRA, C ; PANATIERI, R ; ROCHA, J. B. T. ; ZENI, G	B2	Chemico Biological Interactions (Print)
artigoEmPeriodico	2006	http://dx.doi.org/10.1007/s10565-006-0119-8	Antioxidants and metallothionein levels in mercury-treated mice	Cell Biology and Toxicology	BRANDÃO, R. ; Santos, F. W. ; FARINA, M. ; ZENI, G. ; BOHRER, D. ; ROCHA, J. B. T. ; NOGUEIRA, C. W.	C	
artigoEmPeriodico	2006	http://dx.doi.org/10.1007/s10534-005-4020-3	DMPS and N-acetylcysteine induced renal toxicity in mice exposed to mercury	BioMetals (Oxford)	Brandão, Ricardo ; Santos, Francielli W. ; ZENI, Gilson ; Rocha, João B. T. ; NOGUEIRA, Cristina W. ; ROCHA, J. B. T.	B3	
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.brainresbull.2005.09.007	Diphenyl diselenide and 2,3-dimercaptopropanol increase the PTZ-induced chemical seizure and mortality in mice	Brain Research Bulletin, Estados Unidos	BRITO, V ; FOLMER, V ; PUNTEL, G ; FACHINETTO, R ; SOARES, J ; ZENI, G ; NOGUEIRA, C ; ROCHA, J. B. T.	B5	Brain Research Bulletin
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.brainresbull.2006.05.002	Effects of diphenyl diselenide on orofacial dyskinesia model in rats	Brain Research Bulletin	BURGER, M ; FACHINETTO, R ; WAGNER, C ; PEROTTONI, J ; PEREIRA, R ; ZENI, G ; ROCHA, J ; ROCHA, J. B. T.	B5	
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.tox.2006.04.027	Diethyl 2-phenyl-2 tellurophenyl vinylphosphonate: An organotellurium compound with low toxicity	Toxicology (Amsterdam), USA	DEAVILA, D ; BEQUE, M ; FOLMER, V ; BRAGA, A ; ZENI, G ; NOGUEIRA, C ; SOARES, F ; ROCHA, J. B. T.	B2	Toxicology (Amsterdam)
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.cbi.2006.04.005	Changes in biochemical parameters in rabbits blood after oral exposure to diphenyl diselenide for long periods	Chemico-Biological Interactions (Print), EUA	DEBEM, A ; DELIMAPORTELLA, R ; PEROTTONI, J ; BECKER, E ; BOHRER, D ; PAIXAO, M ; NOGUEIRA, C ; ZENI, G ; ROCHA, J ; ROCHA, J. B. T.	B2	Chemico Biological Interactions (Print)
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.psychres.2005.08.023	Changes in [3H]-glutamate uptake into platelets from patients with bipolar I disorder	Psychiatry Research (Print), EUA	DONASCIMENTO, C ; NOGUEIRA, C ; BORGES, V ; ROCHA, J. B. T.	B2	Psychiatry Research (Print)
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.fct.2005.10.014	Effects of ethanol and diphenyl diselenide exposure on the activity of ?-aminolevulinate dehydratase from mouse liver and brain	Food and Chemical Toxicology	FACHINETTO, R ; PIVETTA, L ; FARINA, M ; PEREIRA, R ; NOGUEIRA, C ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.ntt.2006.08.003	Diphenyl diselenide changes behavior in female pups	Neurotoxicology and Teratology	FAVERO, A ; WEIS, S ; ZENI, G ; ROCHA, J. B. T. ; NOGUEIRA, C	C	
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.tox.2006.02.009	Diphenyl ditelluride- and methylmercury-induced hyperphosphorilation of the high molecular weight neurofilament subunit is prevented by organoselenium compounds in cerebral cortex of young rats	Toxicology (Amsterdam), EUA	FUNCHAL, C ; MORETTO, M ; VIVIAN, L ; ZENI, G ; ROCHA, J. B. T. ; PESSOAPUREUR, R	B2	Toxicology (Amsterdam)
artigoEmPeriodico	2006	http://dx.doi.org/10.1097/01.fjc.0000196241.96759.71	Lercanidipine Reduces Matrix Metalloproteinase-9 Activity in Patients With Hypertension	Journal of Cardiovascular Pharmacology	Martinez, Marcio LL ; Lopes, L??via F ; Coelho, Eduardo B ; Nobre, Fernando ; ROCHA, J. B. T. ; Gerlach, Raquel F ; Tanus-Santos, Jose E	C	
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.freeradbiomed.2006.04.026	eNOS gene T-786C polymorphism modulates atorvastatin-induced increase in blood nitrite	Free Radical Biology Medicine, EUA	NAGASSAKI, Sabrina ; Sertório, Jonas T.C. ; METZGER, Ingrid F. ; BEM, Andreza F. ; Rocha, João B.T. ; Tanus-Santos, Jose E.	C	Free Radical Biology & Medicine
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.envexpbot.2005.05.004	Effect of aluminum on ?-aminolevulinic acid dehydratase (ALA-D) and the development of cucumber (Cucumis sativus)	Environmental and Experimental Botany	PEREIRA, L ; TABALDI, L ; GONCALVES, J ; JUCOSKI, G ; PAULETTO, M ; WEIS, S ; NICOLOSO, F ; BORHER, D ; ROCHA, J ; SCHETINGER, M ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.cbi.2005.11.006	Acetaldehyde does not inhibit glutathione peroxidase and glutathione reductase from mouse liver in vitro	Chemico-Biological Interactions (Print)	PIVETTA, L ; DAFRE, A ; ZENI, G ; ROCHA, J. B. T. ; FARINA, M	B2	Chemico Biological Interactions (Print)
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.etap.2005.10.003	Ethanol inhibits ?-aminolevulinate dehydratase and glutathione peroxidase activities in mice liver: Protective effects of ebselen and N-acetylcysteine	Environmental Toxicology and Pharmacology, EUA	PIVETTA, L ; PEREIRA, R ; FARINON, M ; DEBEM, A ; PEROTTONI, J ; SOARES, J ; DUARTE, M ; ZENI, G ; ROCHA, J. B. T. ; FARINA, M	C	Environmental Toxicology and Pharmacology
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.cbi.2006.09.002	Antioxidant effect of diphenyl diselenide against sodium nitroprusside (SNP) induced lipid peroxidation in human platelets and erythrocyte membranes: An in vitro evaluation	Chemico-Biological Interactions (Print)	POSSER, T ; MORETTO, M ; DAFRE, A ; FARINA, M ; ROCHA, J. B. T. ; NOGUEIRA, C ; ZENI, G ; FERREIRA, J ; LEAL, R ; FRANCO, J	B2	Chemico Biological Interactions (Print)
artigoEmPeriodico	2006	http://dx.doi.org/10.1021/jo0601056	Palladium-Catalyzed Suzuki Cross-Coupling of 2-Haloselenophenes: Synthesis of 2-Arylselenophenes, 2,5-Diarylselenophenes, and 2-Arylselenophenyl Ketones	Journal of Organic Chemistry	Prediger, Patrícia ; Moro, Angélica V. ; NOGUEIRA, Cristina W. ; SAVEGNAGO, Lucielli ; Menezes, Paulo Henrique ; ROCHA, J. B. T. ; ZENI, Gilson	B2	
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.reprotox.2005.12.009	Sub-chronic administration of diphenyl diselenide potentiates cadmium-induced testicular damage in mice	Reproductive Toxicology (Elmsford, N.Y.), IRLANDA	SANTOS, F ; GRACA, D ; ZENI, G ; ROCHA, J. B. T. ; WEIS, S ; FAVERO, A ; NOGUEIRA, C	C	Reproductive Toxicology (Elmsford, N.Y.)
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.tiv.2005.08.006	2,3-Dimercaptopropanol, 2,3-dimercaptopropane-1-sulfonic acid and meso-2,3-dimercaptosuccinic acid increase lead-induced inhibition of ?-aminolevulinate dehydratase in vitro and ex vivo	Toxicology in Vitro	SANTOS, F ; ROCHA, J. B. T. ; NOGUEIRA, C	B2	
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.lfs.2006.04.018	Evaluation of antioxidant activity and potential toxicity of 1-buthyltelurenyl-2-methylthioheptene	Life Sciences (1973), USA	SAVEGNAGO, L ; BORGES, V ; ALVES, D ; JESSE, C ; ROCHA, J. B. T. ; NOGUEIRA, C	C	Life Sciences (1973)
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.pbb.2006.02.002	Bis selenide alkene derivatives: A class of potential antioxidant and antinociceptive agents	Pharmacology, Biochemistry and Behavior, EUA	SAVEGNAGO, L ; JESSE, C ; MORO, A ; BORGES, V ; SANTOS, F ; ROCHA, J. B. T. ; NOGUEIRA, C	B2	Pharmacology, Biochemistry and Behavior
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.etap.2005.07.017	Antisecretory and antiulcer effects of diphenyl diselenide	Environmental Toxicology and Pharmacology	SAVEGNAGO, L ; TREVISAN, M ; ALVES, D ; ROCHA, J ; NOGUEIRA, C ; ZENI, G ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2006		High concentrations of glucose can activate or inhibit human erythrocyte aminolevulinate dehydratase in vitro depending exposure time.	American Journal of Biochemistry and Biotechnology	SOARES, J. C. M. ; GABRIEL, D. ; FOLMER, V. ; AUGUSTI, G. R. ; ROCHA, J. B. T.	B5	
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.fct.2005.09.006	Assessment of reproductive toxicity in male rats following acute and sub-chronic exposures to diphenyl diselenide and diphenyl ditelluride	Food and Chemical Toxicology, EUA	STANGHERLIN, E ; FAVERO, A ; WEIS, S ; ZENI, G ; ROCHA, J. B. T. ; NOGUEIRA, C	B2	Food and Chemical Toxicology
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.brainresbull.2006.01.004	Exposure of mothers to diphenyl ditelluride during the suckling period changes behavioral tendencies in their offspring	Brain Research Bulletin, EUA	STANGHERLIN, E ; FAVERO, A ; ZENI, G ; ROCHA, J. B. T. ; NOGUEIRA, C	B5	Brain Research Bulletin
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.brainres.2006.05.084	Quercitrin, a glycoside form of quercetin, prevents lipid peroxidation in vitro	Brain Research, USA	WAGNER, C ; FACHINETTO, R ; DALLACORTE, C ; BRITO, V ; SEVERO, D ; DEOLIVEIRACOSTADIAS, G ; MOREL, A ; NOGUEIRA, C ; ROCHA, J. B. T.	C	Brain Research
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.envres.2004.07.011	Organic and inorganic forms of selenium inhibited differently fish (Rhamdia quelen) and rat (Rattus norvergicus albinus) ?-aminolevulinate dehydratase	Environmental Research (New York, N.Y. Print), USA	ANTUNESSOARES, F ; ROCHA, J. B. T.	C	Environmental Research (New York, N.Y. Print)
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.tox.2005.01.002	Protective effect of diphenyl diselenide on acute liver damage induced by 2-nitropropane in rats	Toxicology (Amsterdam)	BORGES, L ; BORGES, V ; MORO, A ; NOGUEIRA, C ; ROCHA, J. B. T. ; ZENI, G	B2	
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.tox.2005.07.002	Effect of diphenyl diselenide, diphenyl ditelluride and ebselen on cerebral Na, K-ATPase activity in rats	Toxicology (Amsterdam)	BORGES, V ; ROCHA, J. B. T. ; NOGUEIRA, C	B2	
artigoEmPeriodico	2005	http://dx.doi.org/10.1080/01480540500262763	Hemolytic Effects of Sodium Selenite and Mercuric Chloride in Human Blood	Drug and Chemical Toxicology (New York, N.Y. 1978), ALEMANHA	Brandão, Ricardo ; Lara, Fabiana S. ; Pagliosa, Letícia B. ; Soares, Félix A. ; Rocha, João B.T. ; NOGUEIRA, Cristina W. ; FARINA, Marcelo	B3	Drug and Chemical Toxicology (New York, N.Y. 1978)
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.brainres.2004.10.038	Acute reserpine and subchronic haloperidol treatments change synaptosomal brain glutamate uptake and elicit orofacial dyskinesia in rats	Brain Research, EUA	BURGER, M ; FACHINETO, R ; ALVES, A ; CALLEGARI, L ; ROCHA, J. B. T.	C	Brain Research
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.pbb.2005.05.002	Ebselen attenuates haloperidol-induced orofacial dyskinesia and oxidative stress in rat brain	Pharmacology, Biochemistry and Behavior, estados unidos	BURGER, M ; FACHINETTO, R ; ZENI, G ; ROCHA, J. B. T.	B2	Pharmacology, Biochemistry and Behavior
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.brainres.2005.01.062	Effect of ebselen and organochalcogenides on excitotoxicity induced by glutamate in isolated chick retina	Brain Research, EUA	CENTURIAO, F ; CORTE, C ; PAIXAO, M ; BRAGA, A ; ZENI, G ; EMANUELLI, T ; ROCHA, J. B. T.	C	Brain Research
artigoEmPeriodico	2005	http://dx.doi.org/10.1213/01.ANE.0000153499.10558.F3	The Effect of Sildenafil on Pulmonary Embolism-Induced Oxidative Stress and Pulmonary Hypertension	Anesthesia and Analgesia, Estados Unidos	Dias-Junior, Carlos A. ; Souza-Costa, Debora C. ; Zerbini, Talita ; ROCHA, J. B. T. ; Gerlach, Raquel F. ; Tanus-Santos, Jose E.	C	Anesthesia and Analgesia
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.bbadis.2004.11.001	Enzymes that hydrolyze adenine nucleotides in platelets from breast cancer patients	Biochimica et Biophysica Acta. Molecular Basis of Disease, Irlanda	DOCARMOARAUJO, M ; ROCHA, J. B. T. ; MORSCH, A ; ZANIN, R ; BAUCHSPIESS, R ; MARIAMORSCH, V ; ROSACHITOLINASCHETINGER, M	B2	Biochimica et Biophysica Acta. Molecular Basis of Disease
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.pbb.2005.05.001	High fat diet increases the incidence of orofacial dyskinesia and oxidative stress in specific brain regions of rats	Pharmacology, Biochemistry and Behavior	FACHINETTO, R ; BURGER, M ; WAGNER, C ; WONDRACEK, D ; BRITO, V ; NOGUEIRA, C ; FERREIRA, J ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.etap.2004.07.008	Methylmercury increases S100B content in rat cerebrospinal fluid	Environmental Toxicology and Pharmacology, EUA	FARINA, M ; CERESER, V ; PORTELA, L ; MENDEZ, A ; PORCIUNCULA, L ; FORNAGUERA, J ; GONCALVES, C ; WOFCHUK, S ; ROCHA, J. B. T. ; SOUZA, D	C	Environmental Toxicology and Pharmacology
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.tox.2004.12.005	Hematological changes in rats chronically exposed to oral aluminum	Toxicology (Amsterdam), Irlanda	FARINA, M ; ROTTA, L ; SOARES, F ; JARDIM, F ; JACQUES, R ; SOUZA, D ; ROCHA, J. B. T.	B2	Toxicology (Amsterdam)
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.reprotox.2005.04.013	Teratogenic effects of diphenyl diselenide in Wistar rats	Reproductive Toxicology (Elmsford, N.Y.)	FAVERO, A ; WEIS, S ; STANGHERLIN, E ; ZENI, G ; ROCHA, J. B. T. ; NOGUEIRA, C	C	
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.tox.2004.08.001	Mechanism of delta-aminolevulinate dehydratase inhibition by phenyl selenoacetylene involves its conversion to diphenyl diselenide	Toxicology (Amsterdam), Ireland	FOLMER, V ; BOLZAN, R ; FARINA, M ; ZENI, G ; NOGUEIRA, C ; EMANUELLI, T ; ROCHA, J. B. T.	B2	Toxicology (Amsterdam)
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.jns.2005.06.013	Evidence that intracellular Ca mediates the effect of ?-ketoisocaproic acid on the phosphorylating system of cytoskeletal proteins from cerebral cortex of immature rats	Journal of the Neurological Sciences	FUNCHAL, C ; ZAMONER, A ; DOSSANTOS, A ; MORETTO, M ; ROCHA, J. B. T. ; WAJNER, M ; PESSOAPUREUR, R	B2	
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.cellbi.2005.03.017	Human erythrocyte ?-aminolevulinate dehydratase inhibition by monosaccharides is not mediated by oxidation of enzyme sulfhydryl groups	Cell Biology International	GABRIEL, D ; PIVETTA, L ; FOLMER, V ; SOARES, J ; AUGUSTI, G ; NOGUEIRA, C ; ZENI, G ; ROCHA, J. B. T.	B3	Cell Biology International (Print)
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.lfs.2004.10.038	Antinociceptive properties of acetylenic thiophene and furan derivatives: Evidence for the mechanism of action	Life Sciences (1973), USA	GONCALES, C ; ARALDI, D ; PANATIERI, R ; ROCHA, J. B. T. ; ZENI, G ; NOGUEIRA, C	C	Life Sciences (1973)
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.clinbiochem.2005.09.008	Involvement of oxidative stress in the pre-malignant and malignant states of cervical cancer in women	Clinical Biochemistry, EUA	GONCALVES, T ; ERTHAL, F ; CORTE, C ; MULLER, L ; PIOVEZAN, C ; NOGUEIRA, C ; ROCHA, J. B. T.	C	Clinical Biochemistry
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.expneurol.2005.06.005	Hypoxic-ischemic insult decreases glutamate uptake by hippocampal slices from neonatal rats: Prevention by guanosine	Experimental Neurology, USA	MORETTO, M ; ARTENI, N ; LAVINSKY, D ; NETTO, C ; ROCHA, J. B. T. ; SOUZA, D ; WOFCHUK, S	A2	Experimental Neurology
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.tox.2005.05.022	Ebselen protects glutamate uptake inhibition caused by methyl mercury but does not by Hg	Toxicology (Amsterdam), EUA	MORETTO, M ; FUNCHAL, C ; SANTOS, A ; GOTTFRIED, C ; BOFF, B ; ZENI, G ; PUREUR, R ; SOUZA, D ; WOFCHUK, S ; ROCHA, J. B. T.	B2	Toxicology (Amsterdam)
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.tox.2005.02.003	Organoselenium compounds prevent hyperphosphorylation of cytoskeletal proteins induced by the neurotoxic agent diphenyl ditelluride in cerebral cortex of young rats	Toxicology (Amsterdam), Irlanda	MORETTO, M ; FUNCHAL, C ; ZENI, G ; ROCHA, J. B. T. ; PESSOAPUREUR, R	B2	Toxicology (Amsterdam)
artigoEmPeriodico	2005	http://dx.doi.org/10.1093/toxsci/kfi114	Selenium Compounds Prevent the Effects of Methylmercury on the in Vitro Phosphorylation of Cytoskeletal Proteins in Cerebral Cortex of Young Rats	Toxicological Sciences, USA	MORETTO, M. B. ; ROCHA, J. B. T.	C	Toxicological Sciences (Print)
artigoEmPeriodico	2005	http://dx.doi.org/10.1021/jo050448o	Highly Stereoselective One-Pot Procedure To Prepare Bis- and Tris-chalcogenide Alkenes via Addition of Disulfides and Diselenides to Terminal Alkynes	Journal of Organic Chemistry, EUA	Moro, Angélica Venturini ; NOGUEIRA, Cristina W. ; Barbosa, Nilda B. V. ; Menezes, Paulo Henrique ; ROCHA, J. B. T. ; ZENI, Gilson	B2	Journal of Organic Chemistry
artigoEmPeriodico	2005		EFFECT OF ALUMINUM ON DELTA-AMINOLEVULINIC ACID DEHYDRATASE (ALA-D) AND THE DEVELOPMENT OF CUCUMBER (Cucumis sativus)	Environmental and Experimental Botany, USA	Pereira, L.B. ; Tabaldi, L.A. ; Gonçalves, J.F. ; JUCOSKI, G. O. ; PAULETTO, M. M. ; WEIS, S. N. ; NICOLOSO, F. T. ; BOHRER, D. ; ROCHA, J. B. T. ; SCHETINGER, M R C	B2	Environmental and Experimental Botany
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.etap.2004.07.007	Ebselen and diphenyl diselenide do not change the inhibitory effect of lead acetate on delta-aminolevulinate dehidratase	Environmental Toxicology and Pharmacology, Estados Unidos	PEROTTONI, J ; MEOTTI, F ; FOLMER, V ; PIVETTA, L ; NOGUEIRA, C ; ZENI, G ; ROCHA, J. B. T.	C	Environmental Toxicology and Pharmacology
artigoEmPeriodico	2005	http://dx.doi.org/10.1007/s11064-004-2445-7	Krebs Cycle Intermediates Modulate Thiobarbituric Acid Reactive Species (TBARS) Production in Rat Brain In Vitro	Neurochemical Research	Puntel, Robson L. ; NOGUEIRA, Cristina W. ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2005	http://dx.doi.org/10.1007/s11064-005-2617-0	N-methyl-D-aspartate Receptors are Involved in the Quinolinic Acid, but not in the Malonate Pro-oxidative Activity in vitro	Neurochemical Research, USA	Puntel, Robson Luiz ; Nogueira, Cristina Wayne ; ROCHA, J. B. T.	C	Neurochemical Research
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.etap.2004.07.006	Ebselen and diphenyl diselenide change biochemical hepatic responses to overdosage with paracetamol	Environmental Toxicology and Pharmacology, EUA	ROCHA, J. B. T. ; GABRIEL, D ; ZENI, G ; POSSER, T ; SIQUEIRA, L ; NOGUEIRA, C ; FOLMER, V	C	Environmental Toxicology and Pharmacology
artigoEmPeriodico	2005	http://dx.doi.org/10.1248/bpb.28.1485	Oxidation of ?-ALA-D and DTT Mediated by Ascorbic Acid: Modulation by Buffers Depends on Free Iron	Biological Pharmaceutical Bulletin, JAPAO	ROCHA, J. B. T. ; Lissner, Leandro Ademar ; Puntel, Robson Luiz ; Fachinetto, Roselei ; Emanuelli, Tatiana ; Nogueira, Cristina Wayne ; Soares, Félix Alexandre Antunes	C	Biological & Pharmaceutical Bulletin
artigoEmPeriodico	2005		O Ensino de Ciências para Além do Muro do Construtivismo.	Ciência e Cultura, BRASIL	ROCHA, J. B. T. ; SOARES, F. A. A.	C	Ciência e Cultura
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.fct.2005.05.015	Efficacy of 2,3-dimercapto-1-propanesulfonic acid (DMPS) and diphenyl diselenide on cadmium induced testicular damage in mice	Food and Chemical Toxicology, pub med	SANTOS, F ; ZENI, G ; ROCHA, J. B. T. ; DONASCIMENTO, P ; MARQUES, M ; NOGUEIRA, C	B2	Food and Chemical Toxicology
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.cbi.2005.01.001	Diphenyl diselenide reverses cadmium-induced oxidative damage on mice tissues	Chemico-Biological Interactions (Print), IRLANDA	SANTOS, F ; ZENI, G ; ROCHA, J. B. T. ; WEIS, S ; FACHINETTO, J ; FAVERO, A ; NOGUEIRA, C	B2	Chemico Biological Interactions (Print)
artigoEmPeriodico	2005		ACUTE ADMINISTRATION OF 2,3 DIMERCAPTOPROPANOL, 2, 3 DIMERCAPTOPROPANE-1-SULFONIC ACID AND meso-2 CHANGE DIFERENTIALLY BIOCHEMICAL PARAMETERS IN MICE	Pharmacology Toxicology, DINAMARCA	SANTOS, Franciele Weber ; GONÇALES, C.E.P ; ROCHA, J. B. T. ; NOGUEIRA, C. W.	Qualis nao identificado	Pharmacology Toxicology, DINAMARCA
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.cellbi.2005.03.010	Characterization of ATP and ADP hydrolysis activity in rat gastric mucosa	Cell Biology International, EUA	SAVEGNAGO, L ; NOGUEIRA, C ; FACHINETTO, R ; ROCHA, J. B. T.	B5	BIOLOGY INTERNATIONAL
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.niox.2004.10.009	l-Arginine attenuates acute pulmonary embolism-induced oxidative stress and pulmonary hypertension	Nitric Oxide. Biology and Chemistry, USA	Souza-Costa, Debora Cristine ; Zerbini, Talita ; Metzger, Ingrid Ferreira ; ROCHA, J. B. T. ; Gerlach, Raquel Fernanda ; Tanus-Santos, Jose Eduardo	Qualis nao identificado	Nitric Oxide. Biology and Chemistry, USA
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.tox.2004.09.017	Teratogenic vulnerability of Wistar rats to diphenyl ditelluride	Toxicology (Amsterdam), USA	STANGHERLIN, E ; FAVERO, A ; ZENI, G ; ROCHA, J. B. T. ; NOGUEIRA, C	B2	Toxicology (Amsterdam)
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.etap.2004.08.003	On the mechanisms involved in antinociception induced by diphenyl diselenide	Environmental Toxicology and Pharmacology, usa	ZASSO, F ; GONCALES, C ; JUNG, E ; ARALDI, D ; ZENI, G ; ROCHA, J. B. T. ; NOGUEIRA, C	C	Environmental Toxicology and Pharmacology
artigoEmPeriodico	2004	http://dx.doi.org/10.1016/j.brainres.2004.02.036	Polyamines reduces lipid peroxidation induced by different pro-oxidant agents	Brain Research, Ireland	BELLE, N ; ROCHA, J. B. T.	Qualis nao identificado	Brain Research, Ireland
artigoEmPeriodico	2004	http://dx.doi.org/10.1023/B:NERE.0000029562.56942.5d	Organochalcogens Affect the Glutamatergic Neurotransmission in Human Platelets	Neurochemical Research	BORGES, V. C. ; NOGUEIRA, C. W. ; ZENI, G. ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2004	http://dx.doi.org/10.1016/j.brainresbull.2004.09.006	Effects of age on reserpine-induced orofacial dyskinesia and possible protection of diphenyl diselenide	Brain Research Bulletin, USA	BURGER, M ; FACHINETTO, R ; CALEGARI, L ; PAIXAO, M ; BRAGA, A ; ROCHA, J. B. T.	B5	Brain Research Bulletin
artigoEmPeriodico	2004	http://dx.doi.org/10.1016/j.neulet.2003.11.019	Pilocarpine-induced status epilepticus increases glutamate release in rat hippocampal synaptosomes	Neuroscience Letters (Print), Ireland	Costa, M ; ROCHA, J. B. T.	C	Neuroscience Letters (Print)
artigoEmPeriodico	2004	http://dx.doi.org/10.1016/j.toxlet.2003.10.001	Additive pro-oxidative effects of methylmercury and ebselen in liver from suckling rat pups	Toxicology Letters, EUA	FARINA, M ; ROCHA, J. B. T.	C	Toxicology Letters
